,Sqrt_TS_History_7,CLASS1
4,6.771310329437256,1
10,2.189011812210083,1
25,2.456795215606689,1
27,0.8141366839408875,1
29,2.464151382446289,2
33,4.326956748962402,2
36,1.48737895488739,1
43,13.432530403137209,1
51,3.61891770362854,1
53,17.461933135986328,1
56,6.268725395202637,1
63,4.355351448059082,2
66,13.283230781555176,2
71,1.2308467626571655,1
80,0.7705943584442139,1
85,3.956046581268311,1
86,4.943854331970215,2
91,3.7521042823791504,2
92,0.6113335490226746,1
93,4.622641086578369,1
97,5.53944730758667,1
98,20.67206573486328,2
103,6.219923496246338,1
106,8.833015441894531,1
109,10.100519180297852,1
110,8.603357315063477,1
115,8.672806739807129,2
134,8.443225860595703,2
137,3.142708778381348,1
142,14.9208984375,2
144,12.01430606842041,2
153,1.0997294187545776,1
156,20.847644805908203,1
162,14.802051544189451,1
166,25.80697059631348,1
172,3.4201221466064453,1
173,3.987570762634277,1
177,4.946238040924072,1
183,3.610619306564331,1
191,0.5320728421211243,1
192,3.664552688598633,2
197,0.4140607118606567,1
198,16.206640243530273,2
203,9.55263900756836,1
204,4.762943267822266,1
209,6.755931377410889,1
213,8.575704574584961,1
218,3.550454378128052,1
221,5.6849565505981445,1
224,12.371350288391112,1
225,7.604968547821045,2
226,14.940671920776367,2
227,30.28721809387207,1
230,1.8392488956451416,2
231,20.348953247070312,1
232,5.008262634277344,2
237,8.245814323425293,1
241,9.770223617553713,1
242,6.765561580657959,1
254,14.378654479980469,1
261,2.6755313873291016,1
266,15.547868728637695,1
281,26.46697998046875,2
285,2.816103458404541,1
286,10.938543319702148,1
290,1.7180927991867063,2
291,3.989665269851685,1
301,1.5683197975158691,2
302,107.12580871582033,2
303,7.680952548980713,1
305,18.521120071411133,2
308,12.966822624206545,1
312,6.17092227935791,1
318,5.994326114654541,2
319,42.636695861816406,1
320,1.3158915042877195,2
323,4.90619707107544,1
325,29.91340446472168,2
326,6.423117160797119,2
327,12.126299858093262,2
330,8.481039047241211,1
331,2.732649564743042,1
333,8.423738479614258,2
336,12.683781623840332,1
337,15.62484645843506,1
338,6.360996723175049,2
340,4.941051006317139,1
345,1.9022995233535769,2
349,17.89257049560547,2
350,3.4717984199523926,1
352,1.262865424156189,1
356,21.85851287841797,1
361,4.960161685943604,1
365,0.5169176459312439,1
367,3.749321222305298,1
373,5.914671421051025,1
379,1.71272075176239,2
383,3.7165350914001465,1
384,4.957828044891357,1
385,3.738745450973511,1
398,1.6725274324417114,1
399,4.805692195892334,2
402,12.95797634124756,1
406,11.624284744262695,2
407,4.766408443450928,2
408,4.250300884246826,1
412,13.314509391784668,2
417,8.18940544128418,1
423,29.22377014160156,1
426,18.79713630676269,2
429,12.961688041687012,2
430,11.126016616821287,1
431,7.332908630371094,1
434,5.673600196838379,1
443,2.4922215938568115,1
445,12.052597999572754,1
447,4.1998820304870605,1
450,2.443645477294922,2
451,11.645024299621582,1
454,36.91538619995117,1
457,8.910910606384277,1
459,3.470744371414185,1
464,4.585687160491943,1
477,4.646787643432617,2
478,9.247333526611328,1
486,10.098834037780762,1
490,7.636778354644775,1
498,3.8529052734375,1
499,2.2469944953918457,1
503,1.745720386505127,2
509,6.219404697418213,1
515,8.729521751403809,1
516,5.303332328796387,1
518,4.014907836914063,1
525,1.917107343673706,1
527,3.598973035812378,2
532,2.256478786468506,1
533,12.751648902893066,1
536,1.7814866304397583,1
542,6.730687141418457,2
544,5.845663547515869,2
548,18.31265640258789,2
552,2.5405757427215576,1
559,1.6050251722335815,1
560,1.514723777770996,1
561,2.516288995742798,1
562,18.357257843017575,1
565,0.5298004150390625,1
568,47.52335357666016,2
570,24.97631072998047,1
577,5.967158794403076,1
593,5.095990180969238,1
595,3.580937147140503,1
597,5.214064598083496,2
598,12.534795761108398,1
600,20.10321044921875,2
606,2.2947144508361816,1
612,31.576072692871094,2
615,1.179245114326477,1
619,44.20548629760742,1
623,2.177616596221924,1
624,3.312023878097534,1
630,0.3697146773338318,1
648,1.7595778703689575,2
650,4.862074851989746,1
655,24.955955505371094,2
657,2.228553533554077,2
662,5.015732288360596,2
664,3.307468891143799,1
665,8.475360870361328,2
666,13.891401290893556,2
668,4.932187557220459,1
669,2.0100314617156982,1
674,4.655084133148193,1
677,5.212073802947998,2
684,16.922237396240234,2
685,7.408899784088135,1
688,14.201656341552734,1
689,82.85000610351562,1
699,3.8741989135742183,1
702,3.4719903469085693,1
712,3.2899537086486816,1
715,12.703454971313477,1
720,1.84908127784729,2
722,18.48603057861328,2
734,3.281128406524658,1
740,2.3122923374176025,2
745,9.879402160644531,2
746,1.8333925008773804,2
747,5.4321064949035645,2
748,2.6278624534606934,1
750,1.6440117359161377,2
751,7.4853196144104,2
756,4.44575834274292,1
759,2.4842801094055176,2
760,0.9305366277694702,1
765,11.905942916870115,2
772,0.8210326433181763,1
774,2.668102264404297,2
775,5.783598899841309,2
784,37.06122970581055,1
786,17.79842185974121,1
788,17.02097511291504,2
789,2.968746900558472,1
795,5.182058334350586,1
797,10.34426498413086,1
803,7.636237144470215,2
804,3.981669187545776,1
805,2.6101057529449463,1
807,13.308197975158691,2
808,7.1850666999816895,1
811,1.3914271593093872,2
818,5.051315784454346,1
828,1.8856581449508667,1
829,9.737438201904297,1
834,4.377479076385498,2
836,9.100363731384276,1
837,9.6951904296875,1
838,6.773107528686523,1
846,5.315569877624512,1
850,4.768773555755615,1
856,1.3839960098266602,1
857,6.495924949645996,1
859,0.3131442070007324,2
863,6.459713459014893,1
870,11.234057426452637,1
871,7.891917705535889,1
872,6.256847858428955,2
874,3.4263269901275635,1
885,2.885281801223755,1
895,9.5581693649292,1
898,5.541152477264404,1
906,5.8100361824035645,1
907,11.951589584350586,1
909,10.416348457336426,1
910,19.88803482055664,1
911,22.81781578063965,1
914,2.1349148750305176,1
918,8.534388542175293,2
927,15.071846961975098,1
931,5.991986274719238,1
932,53.75532150268555,2
935,1.7878631353378296,2
936,12.370257377624512,1
942,6.930593967437744,2
944,6.096129894256592,1
946,3.8618528842926025,2
950,9.32963752746582,1
961,5.317836761474609,1
962,14.337459564208984,2
966,4.4429192543029785,1
969,6.146471977233887,2
979,3.313600778579712,1
981,3.665929079055786,1
985,2.5109965801239014,1
990,5.333835124969482,1
993,3.713066339492798,1
998,3.166224241256714,1
1010,4.849720001220703,1
1011,13.089157104492188,2
1018,15.311274528503418,2
1020,5.436959266662598,1
1029,57.205997467041016,2
1035,2.091054201126098,1
1037,34.231693267822266,2
1038,4.831951141357422,1
1046,2.598912477493286,1
1068,2.814675807952881,2
1084,11.906587600708008,2
1085,0.4937414228916168,1
1090,2.257803440093994,2
1092,15.06588077545166,1
1093,11.596932411193848,1
1095,17.034364700317383,1
1109,84.53605651855469,1
1115,6.509139060974121,1
1116,3.6988394260406494,1
1121,2.476489543914795,1
1127,15.05329418182373,2
1128,6.844351768493652,1
1129,5.734292507171631,1
1130,2.05143404006958,1
1132,1.769248366355896,1
1133,5.866706848144531,1
1143,3.662893772125244,1
1148,9.744190216064451,1
1153,5.833340167999268,1
1155,6.056347370147705,1
1159,5.601932048797607,1
1163,1.1717677116394043,1
1166,15.401551246643066,2
1170,5.259490489959717,2
1184,6.300765037536621,1
1186,14.736138343811035,2
1187,2.94732666015625,2
1189,41.768550872802734,1
1201,14.640436172485352,2
1202,3.0385637283325195,1
1213,4.756029605865479,2
1215,83.32281494140625,2
1225,4.177146911621094,1
1233,34.08012771606445,2
1238,3.514589786529541,1
1241,1.852962613105774,1
1242,1.7703478336334229,2
1243,2.8130669593811035,1
1248,22.66589736938477,2
1249,2.844135284423828,1
1256,4.464781284332275,1
1262,2.947181940078736,1
1263,1.7727768421173096,1
1264,9.941027641296388,1
1266,6.159060478210449,2
1268,15.940635681152344,1
1276,3.6964290142059326,2
1277,23.73566055297852,1
1279,1.886305570602417,1
1282,11.602742195129396,2
1298,17.84195327758789,2
1299,7.2492170333862305,1
1303,6.552154064178467,1
1305,18.54633903503418,1
1320,3.471832275390625,2
1322,1.1609175205230713,1
1323,48.61152648925781,1
1339,4.410139560699463,2
1340,2.611769437789917,1
1342,2.3606765270233154,1
1344,28.243637084960938,2
1347,5.904130935668945,1
1355,2.7215092182159424,1
1360,4.731286525726318,2
1364,3.2600772380828857,2
1370,1.3085776567459106,1
1372,25.75697898864746,2
1381,22.226686477661133,2
1400,0.8138595223426819,1
1401,26.670196533203125,2
1402,7.199278354644775,1
1406,5.026402473449707,1
1410,44.263519287109375,1
1417,11.195290565490724,2
1424,5.254900932312012,1
1427,3.9879307746887207,2
1440,9.033589363098145,1
1467,5.406227111816406,1
1480,13.197542190551758,2
1482,4.469364643096924,1
1489,10.53121280670166,1
1494,6.009584903717041,1
1508,6.172617435455322,1
1509,10.423266410827637,2
1513,3.999711513519287,2
1514,1.232182502746582,2
1515,8.928892135620117,1
1518,8.901907920837402,1
1523,3.12764835357666,1
1533,22.92036819458008,1
1535,8.89505386352539,2
1536,4.351826190948486,2
1538,6.049949645996094,2
1549,9.619769096374512,1
1551,4.24542760848999,1
1557,0.012698907405138,2
1563,1.6746896505355835,1
1565,1.7389978170394895,2
1568,22.502685546875,1
1581,4.0057525634765625,1
1589,11.319906234741213,1
1591,7.294474601745605,1
1594,2.802522897720337,2
1610,3.076003074645996,1
1614,23.027482986450195,1
1621,3.759389162063599,1
1629,6.163133144378662,1
1633,2.0001890659332275,1
1634,1.1309195756912231,1
1641,9.760536193847656,1
1643,2.929254531860352,1
1647,30.40022850036621,1
1663,4.572300434112549,2
1664,6.6937785148620605,2
1677,4.132580280303955,1
1684,3.2007429599761963,2
1688,2.292322158813477,2
1690,6.3314361572265625,2
1705,10.48305320739746,2
1711,12.002817153930664,1
1713,5.065334320068359,1
1720,31.613893508911133,1
1721,6.7380051612854,1
1722,6.867742538452148,1
1731,5.044341087341309,1
1736,6.482275485992432,2
1737,6.731448650360107,2
1744,2.470172643661499,2
1756,2.4892609119415283,2
1760,3.0058295726776123,2
1763,4.347235679626465,1
1765,35.216548919677734,1
1772,5.484254837036133,2
1773,9.098692893981934,1
1775,4.516788959503174,1
1777,7.362209320068359,1
1790,9.994565963745115,1
1792,7.596180915832519,1
1798,8.810483932495117,1
1800,3.668961524963379,1
1803,7.249626636505127,2
1804,7.908693313598633,1
1805,0.4148910045623779,2
1811,4.533860206604004,1
1817,6.572597980499268,2
1826,3.074113368988037,2
1828,14.78380012512207,1
1831,2.7771689891815186,1
1832,10.82310962677002,2
1834,5.17108678817749,1
1838,7.840146541595459,2
1839,91.64202880859376,1
1851,12.861373901367188,2
1860,3.280517578125,2
1871,43.14232635498047,2
1872,2.4284861087799072,1
1873,10.433673858642578,1
1876,3.006397485733032,1
1878,2.2250430583953857,1
1881,2.6382057666778564,1
1887,1.5935711860656738,1
1891,6.564277648925781,1
1893,6.886962890625,2
1899,4.616722106933594,1
1903,19.426347732543945,1
1907,33.704383850097656,2
1920,3.741010189056397,2
1922,0.1712096184492111,2
1923,1.9416126012802124,2
1927,3.951186418533325,1
1934,5.581100463867188,1
1935,1.3552861213684082,1
1941,3.1088826656341557,1
1942,5.876501560211182,2
1946,7.642818927764893,1
1949,5.052063941955566,1
1950,4.148144245147705,1
1956,1.2001924514770508,1
1957,5.659807205200195,2
1963,2.2384908199310303,1
1966,1.4110729694366455,1
1972,9.018028259277344,2
1983,15.599745750427246,1
1991,11.21360969543457,1
1993,20.417407989501957,1
2000,10.271382331848145,1
2006,3.3552839756011963,1
2007,5.2742600440979,1
2016,4.9781270027160645,1
2018,0.6314613819122314,1
2019,2.404258728027344,1
2021,3.752644300460816,1
2026,6.856340408325195,2
2029,5.067816257476807,1
2034,6.33516788482666,2
2036,2.7076938152313232,2
2037,15.18483066558838,1
2039,1.6661803722381592,1
2046,6.900554656982422,1
2051,17.937347412109375,2
2057,2.760213851928711,2
2060,36.991676330566406,1
2065,16.02794075012207,1
2067,36.42554473876953,1
2074,4.058537006378174,1
2079,4.042738437652588,1
2081,0.8736543655395508,1
2083,14.305156707763672,1
2085,0.5560117959976196,2
2089,16.63945960998535,1
2090,7.915011882781982,1
2093,3.8261659145355225,1
2096,0.5227104425430298,1
2097,13.467884063720703,1
2098,38.84163665771485,1
2099,1.2226815223693848,1
2102,2.755427598953247,1
2103,3.501932382583618,1
2107,2.7462716102600098,1
2121,2.6870269775390625,1
2127,6.390512943267822,2
2129,7.269530296325684,1
2131,14.526449203491213,1
2136,3.243216037750244,1
2142,1.3103771209716797,1
2147,5.68064022064209,1
2158,0.5688496232032776,2
2161,20.16602325439453,1
2164,5.062195301055908,1
2169,4.908629417419434,2
2171,2.8023784160614014,1
2175,0.5117084383964539,1
2194,5.801147937774658,1
2195,7.216275215148926,2
2202,9.669966697692873,1
2203,78.0516128540039,2
2205,4.270191669464111,1
2213,12.143354415893556,1
2216,10.575369834899902,1
2224,10.482782363891602,1
2226,6.664898872375488,1
2228,3.202000617980957,1
2233,4.7469096183776855,1
2237,4.362816333770752,1
2240,3.037606716156006,1
2244,7.414749622344971,1
2246,13.28346824645996,2
2253,9.993703842163086,1
2258,3.7670376300811768,2
2269,3.961835861206055,1
2271,40.694374084472656,1
2276,2.601632833480835,2
2280,16.32514762878418,1
2281,4.104811191558838,1
2285,1.396392583847046,1
2287,3.6109540462493896,2
2288,6.643006801605225,1
2308,2.071753025054932,1
2311,15.28904151916504,1
2323,2.7102670669555664,2
2326,5.939764499664307,1
2331,0.8269617557525635,1
2339,3.553583860397339,1
2341,8.652329444885254,2
2342,7.754054546356201,1
2343,14.085676193237305,2
2344,5.105527400970459,1
2348,9.989425659179688,1
2350,4.3240509033203125,1
2364,3.619323968887329,1
2373,18.026994705200195,1
2376,4.721511363983154,2
2380,3.839974164962769,1
2390,19.635822296142575,2
2393,19.134204864501957,2
2395,4.041947364807129,1
2397,7.095762729644775,2
2404,8.34329605102539,2
2408,4.277922630310059,1
2409,4.72276496887207,1
2411,1.6368417739868164,1
2413,0.9808050990104676,2
2420,1.853213667869568,1
2424,10.570691108703612,1
2427,2.740192174911499,1
2429,4.634002208709717,1
2432,2.7985057830810547,1
2441,21.445491790771484,2
2447,2.4412026405334477,1
2450,2.669311761856079,1
2454,5.134932041168213,1
2455,2.1295268535614014,1
2465,3.162838935852051,1
2468,3.233767509460449,2
2471,4.871625900268555,1
2473,3.1543519496917725,1
2475,8.589069366455078,1
2491,18.986764907836918,2
2494,10.087905883789062,1
2506,4.284663200378418,1
2507,4.277654647827148,1
2518,2.4252970218658447,1
2520,10.441573143005373,1
2525,4.834147930145264,1
2529,1.7810107469558716,1
2534,2.6518354415893555,2
2536,8.525352478027344,2
2538,8.752095222473145,2
2539,60.1212272644043,2
2543,10.894542694091797,2
2545,4.128958225250244,2
2548,5.017650604248047,2
2551,45.16084289550781,1
2557,1.8360058069229128,1
2561,6.764647006988525,1
2566,2.106585502624512,1
2573,2.90802264213562,1
2576,2.3883395195007324,1
2578,6.636811256408691,2
2581,0.2111791670322418,1
2583,17.95145034790039,2
2585,6.645012378692627,1
2592,4.881756782531738,1
2596,4.217120170593262,1
2605,8.529722213745117,1
2606,4.10758113861084,1
2607,22.0300350189209,2
2611,1.9378100633621216,2
2615,3.44002366065979,2
2618,46.03238296508789,1
2635,2.726914882659912,1
2638,7.558467388153076,2
2640,16.397708892822266,2
2644,4.517078399658203,1
2648,7.241410255432129,1
2661,3.235950231552124,1
2662,4.287949562072754,1
2664,59.75950241088867,2
2665,1.2669284343719482,2
2668,1.525731325149536,1
2669,5.871907711029053,1
2670,0.2719816863536834,2
2674,3.488487243652344,1
2678,7.266203880310059,1
2679,9.790831565856934,1
2682,4.093209743499756,1
2697,5.651162624359131,1
2700,13.378148078918455,1
2702,8.038423538208008,2
2707,4.229329586029053,1
2708,4.537054061889648,2
2709,7.5944504737854,1
2712,41.81563949584961,2
2732,3.065736055374145,2
2733,21.240741729736328,2
2734,30.08641242980957,1
2746,1.646467685699463,1
2747,3.880232810974121,1
2753,5.041018962860107,1
2758,0.3141335248947143,1
2775,3.6178441047668457,1
2778,3.0172152519226074,1
2783,56.71397399902344,2
2787,6.011136054992676,1
2789,3.341862678527832,1
2793,1.157246470451355,2
2801,0.5652658343315125,1
2803,5.546488285064697,1
2805,4.990642547607422,1
2809,9.70278549194336,1
2811,3.15087890625,1
2820,11.66586685180664,2
2823,3.9043257236480713,2
2825,6.56500244140625,1
2831,32.26025390625,1
2832,8.522765159606934,2
2833,10.248412132263184,1
2834,5.769258499145508,1
2835,24.897926330566406,1
2837,24.717086791992188,1
2843,5.749808311462402,1
2845,3.523300170898437,1
2858,14.930005073547363,2
2860,5.4630560874938965,1
2861,8.72011947631836,1
2864,3.3816628456115723,1
2865,111.4765853881836,1
2874,2.9664011001586914,2
2881,5.3114333152771,2
2882,6.017643451690674,1
2883,2.975117921829224,2
2884,5.888630390167236,1
2888,5.373473644256592,1
2893,4.043916702270508,1
2896,2.9407713413238525,1
2897,1.81328558921814,1
2908,2.115219593048096,2
2922,5.790808200836182,1
2926,3.553685188293457,1
2930,12.558369636535645,1
2932,0.0260499566793441,2
2934,0.1217320337891578,2
2944,12.642304420471191,1
2946,13.810458183288574,2
2958,5.210832118988037,2
2967,2.0156185626983643,1
2968,7.812439918518066,1
2971,2.439879894256592,1
2976,2.6237218379974365,1
2977,5.745455741882324,2
2981,15.243770599365234,2
2983,2.557856559753418,2
2985,7.391767978668213,2
2987,10.43568515777588,2
2990,2.2583086490631104,1
2992,3.1213607788085938,1
2996,2.3850200176239014,2
3003,9.992326736450195,2
3005,1.8909385204315183,1
3011,15.98315143585205,1
3018,2.5342276096343994,1
3020,1.640849232673645,2
3022,7.302740573883057,2
3024,8.569372177124023,1
3025,12.264699935913086,1
3042,2.031776428222656,1
3043,4.492239475250244,1
3045,2.9291272163391118,1
